Case_ID,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Texture,Pollution_Severity,Pollutant_Concentration_mg in kg,"Pollutant Concentration, Text-type"
CASE_100025,5.46,15.1,56.7,394.3,Silty,High,182.11,High
CASE_100026,7.55,18.3,74.6,147.1,Sandy,Medium,136.07,High
CASE_100027,6.64,13.2,82.6,128.3,Silty,Medium,128.54,High
CASE_100028,6.86,33.7,21.2,204.8,Sandy,High,12.95,Low
CASE_100029,5.2,34.2,49,374.7,Sandy,Low,130.81,High
CASE_100030,4.95,42.4,85.8,103.2,Clay,High,71.51,Medium
CASE_100031,6.72,28.5,38.1,37.2,Sandy,High,164.36,High
CASE_100032,7.03,21.9,46.2,290.4,Loamy,Low,180.58,High
CASE_100033,7.62,32.5,26.3,64.7,Loamy,Low,177.98,High
CASE_100034,4.54,13.6,69.8,2,Silty,High,123.25,High
CASE_100035,7.27,32.8,36.8,284.9,Clay,Low,112,High
CASE_100036,7.49,32.7,83.7,263,Clay,Medium,68.45,Medium
CASE_100037,5.97,19.3,38.3,389.2,Silty,High,23.27,Low
CASE_100038,7.02,37.8,57.7,230.8,Clay,Medium,178.95,High
CASE_100039,7.39,19.8,21.8,258.2,Clay,High,43.07,Low
CASE_100040,8.32,42,47.8,6.2,Silty,High,188.39,High
CASE_100041,8.37,43.7,84,117.8,Silty,High,88.5,Medium
CASE_100042,5.77,15.9,61.8,374.5,Clay,Low,170.97,High
CASE_100043,4.89,31.5,94.3,56,Sandy,Low,116.16,High
CASE_100044,7.46,34.4,72.7,143.8,Sandy,Medium,176.09,High
CASE_100045,7.74,40.3,88.5,204.5,Silty,Medium,162.83,High
CASE_100046,7.1,34.6,79.7,356,Silty,High,160.67,High
CASE_100047,4.88,30.2,22.7,186.2,Silty,Medium,78.24,Medium
CASE_100048,6.86,11.1,22.8,329,Clay,Medium,60.88,Medium
CASE_100049,6.59,36.9,36.2,249.2,Loamy,Low,29.78,Low
CASE_100050,6.63,28.9,67.8,290.4,Loamy,Medium,15.08,Low
CASE_100051,5.79,37.8,40.3,175.6,Clay,Medium,105.68,High
CASE_100052,8.35,39.3,72.2,163.6,Clay,Low,9.94,Low
CASE_100053,5.5,29.2,73.6,264.1,Clay,High,35.51,Low
CASE_100054,7.45,29.4,65.9,167.8,Clay,Low,191.2,High
CASE_100055,7.53,10.5,28.7,18.4,Silty,Medium,74.41,Medium
CASE_100056,7.31,26.6,27.3,196.6,Sandy,High,171.81,High
CASE_100057,6.24,23.9,66.2,254,Sandy,Low,38.77,Low
CASE_100058,7,27.6,84.2,263.5,Loamy,Medium,78.05,Medium
CASE_100059,7.07,10.9,63.9,376.1,Silty,Low,18.76,Low
CASE_100060,7.07,26,60.9,376.6,Sandy,High,80.69,Medium
CASE_100061,8.12,16.9,25.2,40.3,Sandy,Low,192.43,High
CASE_100062,7.23,12.5,43.9,338,Silty,High,23.42,Low
CASE_100063,5.63,14.1,72.3,251.6,Clay,High,163.82,High
CASE_100064,7.71,19.9,33.3,300.2,Loamy,Medium,148.34,High
CASE_100065,6.15,23,78.2,136.3,Sandy,Medium,198.15,High
CASE_100066,6.22,36.3,76.6,41.2,Loamy,High,172.39,High
CASE_100067,7.81,21.2,87.2,155.7,Sandy,Medium,103.52,High
CASE_100068,4.87,21.2,91.3,380.2,Silty,Medium,181.55,High
CASE_100069,6.29,20.3,44.6,269,Loamy,Low,128.21,High
CASE_100070,7.66,13.2,57.1,23,Loamy,High,159.36,High
CASE_100071,8.05,22.3,28.8,57.2,Loamy,Medium,91.1,Medium
CASE_100072,4.9,12.9,72.6,29.1,Sandy,High,125.55,High
CASE_100073,4.83,13,94,149.7,Sandy,Low,142.72,High
CASE_100074,8.29,44.5,76.5,150.5,Sandy,Medium,163.5,High
CASE_100075,6.73,24.8,88,44.5,Loamy,Low,156.54,High
CASE_100076,6.37,12,28.9,47,Loamy,High,7.21,Low
CASE_100077,6.83,43.7,48.1,114.3,Clay,Medium,150.48,High
CASE_100078,8.35,10.4,92.7,17.3,Loamy,High,48.6,Low
CASE_100079,8.47,12.6,61.5,387.7,Clay,Medium,107.9,High
CASE_100080,7.28,25.9,67.1,233.7,Clay,High,127.73,High
CASE_100081,5.62,43.3,86.8,182.3,Loamy,High,13.86,Low
CASE_100082,5.25,26.2,46.5,233.5,Clay,High,59.09,Medium
CASE_100083,8.44,34.4,60.2,123.8,Silty,Medium,195.01,High
CASE_100084,5.15,41.9,81.7,379.9,Loamy,Low,138.52,High
CASE_100085,6.17,42.6,85,18.1,Loamy,Medium,124.62,High
CASE_100086,7.74,44.6,31.3,237.7,Sandy,Medium,78.41,Medium
CASE_100087,7.87,39.3,55.2,165.9,Sandy,High,194.13,High
CASE_100088,7.96,38.5,95,398.7,Clay,Medium,15.99,Low
CASE_100089,8.28,39.7,38.6,180.2,Loamy,Low,154.95,High
CASE_100090,6.92,18,70.4,247.3,Silty,Low,191.04,High
CASE_100091,7.19,28.2,77.9,208.1,Loamy,High,27.14,Low
CASE_100092,6.74,40.7,50.3,53.6,Silty,Medium,112.62,High
CASE_100093,6.98,34.6,36,54.5,Clay,Medium,152.25,High
CASE_100094,6.86,23.7,52.8,361.7,Silty,Medium,73.36,Medium
CASE_100095,7.63,23.9,66.7,344.9,Loamy,High,105.23,High
CASE_100096,8.21,27.2,39.4,183.7,Loamy,Medium,33.68,Low
CASE_100097,5.82,32.2,38,30.3,Loamy,High,101.06,High
CASE_100098,5.11,14.9,68.1,72.8,Loamy,Medium,29.97,Low
CASE_100099,6.4,33.4,32.9,76.9,Sandy,Medium,179.87,High
CASE_100100,5.61,16.2,26.7,48.3,Silty,Low,37.94,Low
CASE_100101,5.96,27.6,71.8,15.7,Sandy,Low,45.24,Low
CASE_100102,4.83,40.6,89.1,24.4,Clay,High,127.44,High
CASE_100103,7.49,16.5,35.7,148.2,Clay,Medium,162.21,High
CASE_100104,5.98,26.2,76.1,14.7,Silty,High,125.56,High
CASE_100105,8.08,27.9,59.9,42.9,Loamy,High,144.1,High
CASE_100106,5.47,19.4,48.3,8,Loamy,Medium,108.86,High
CASE_100107,5.81,14.2,86.8,237.4,Clay,Medium,46.23,Low
CASE_100108,6.49,13,60.3,234.7,Silty,Low,158.89,High
CASE_100109,5.01,19.9,47.2,258.4,Silty,Low,89.17,Medium
CASE_100110,8.45,31.2,37.8,40.7,Silty,Medium,74.44,Medium
CASE_100111,5.14,16.5,41.4,69.3,Clay,Medium,52.96,Medium
CASE_100112,6.6,24.4,93.7,44.8,Loamy,Medium,20.65,Low
CASE_100113,7.96,38.6,39.3,68.4,Silty,High,194.05,High
CASE_100114,6.73,30,41,307.8,Silty,High,186.23,High
CASE_100115,6.2,27.8,38.2,45.9,Sandy,Medium,68.12,Medium
CASE_100116,6.82,15.4,56.1,213,Silty,Low,61.28,Medium
CASE_100117,5.04,12.2,94.2,128.9,Loamy,Medium,70.64,Medium
CASE_100118,7.23,36.6,64.7,188.6,Loamy,High,54.65,Medium
CASE_100119,8.22,39.1,92.4,49.7,Sandy,High,73.03,Medium
CASE_100120,5.22,12.3,75.6,229.8,Clay,Medium,187.98,High
CASE_100121,7.68,17.1,32.3,65.7,Clay,Medium,32.26,Low
CASE_100122,6.59,22.6,85.8,157,Silty,High,134.71,High
CASE_100123,6.01,26.2,42.6,299,Loamy,Low,90.63,Medium
CASE_100124,8.1,23.4,60.8,362.6,Clay,High,50.28,Medium
CASE_100125,8.26,32,45.1,55.7,Loamy,High,27.8,Low
CASE_100126,6.63,41.3,79.1,60.7,Sandy,Medium,125.91,High
CASE_100127,7.48,11.2,62.7,305,Silty,Low,53.46,Medium
CASE_100128,7.79,13.9,83.5,51,Loamy,Low,71.71,Medium
CASE_100129,5.1,18,74.2,288,Clay,High,160.47,High
CASE_100130,6.67,18.8,45.9,72.6,Silty,Medium,140.32,High
CASE_100131,6.1,26.2,91,61.3,Sandy,High,118.76,High
CASE_100132,6.95,10.6,85.4,372.8,Loamy,Medium,103.65,High
CASE_100133,8.19,34.8,31.4,230.5,Silty,Low,140.85,High
CASE_100134,7.45,42.7,89.4,180.3,Silty,Medium,87.71,Medium
CASE_100135,7.86,14.4,89.1,348,Silty,Medium,197.04,High
CASE_100136,6.1,11.9,45.1,321.1,Silty,High,120.3,High
CASE_100137,6.09,28.8,89,138.5,Sandy,High,70.03,Medium
CASE_100138,6.31,17.9,53.9,56.3,Clay,High,148.81,High
CASE_100139,6.18,42,47.2,232.2,Sandy,Low,102.18,High
CASE_100140,7.15,16.2,92.1,59.5,Silty,Low,7.55,Low
CASE_100141,8.49,27.6,64.7,26.8,Clay,Low,21.64,Low
CASE_100142,8.09,17.2,34.3,14.6,Silty,Low,45.93,Low
CASE_100143,4.76,37.1,54,209.8,Silty,Low,115.14,High
CASE_100144,6.74,15.4,33.6,344.7,Silty,High,83.15,Medium
CASE_100145,5.58,32.5,50.7,10.2,Clay,Medium,77.8,Medium
CASE_100146,7.14,10.9,36.6,92.4,Sandy,Low,144.61,High
CASE_100147,4.92,38,33.4,261.1,Silty,High,8.84,Low
CASE_100148,5.47,35.3,84.2,332.1,Sandy,Low,24.39,Low
CASE_100149,5.32,20.3,87.2,5.2,Clay,Medium,135.28,High
CASE_100150,4.61,16.4,63.7,168.6,Clay,Low,45.54,Low
CASE_100151,5.87,19.1,48.5,236.1,Clay,Medium,164.4,High
CASE_100152,6.14,29.3,52.7,117.8,Loamy,Medium,126.71,High
CASE_100153,5.06,40.4,56.6,357.8,Clay,Low,153.9,High
CASE_100154,4.59,19.4,60.6,253.4,Sandy,High,87.92,Medium
CASE_100155,7.84,44.5,59.4,68.7,Silty,Low,32.17,Low
CASE_100156,8.16,14.1,63.2,109.6,Loamy,High,8.59,Low
CASE_100157,7.82,17.2,20.8,54.8,Silty,Low,132.03,High
CASE_100158,6.89,31,69.9,70.1,Clay,High,175.41,High
CASE_100159,6.03,28.2,23.5,66.5,Silty,Medium,86.66,Medium
CASE_100160,6.91,18.6,49.2,115.5,Clay,High,21.15,Low
CASE_100161,5.69,29.8,55.7,265.5,Sandy,Medium,145.21,High
CASE_100162,5.36,11.1,39.7,238,Clay,Low,147.85,High
CASE_100163,6.89,21.7,77.8,42.6,Clay,Low,101.79,High
CASE_100164,6.48,34.1,52.6,98.6,Clay,Medium,147,High
CASE_100165,7.28,19.5,64.3,144.4,Sandy,Medium,160.89,High
CASE_100166,5.05,43.3,53.5,74.1,Silty,High,183.88,High
CASE_100167,7.43,38.2,69.4,276.9,Sandy,Low,175.22,High
CASE_100168,6.46,17.7,94.1,377.6,Sandy,Medium,53.69,Medium
CASE_100169,8.2,16.3,62.6,366.2,Silty,High,142.59,High
CASE_100170,5.69,42.4,92.8,377.7,Clay,High,141,High
CASE_100171,7.88,21.2,82.2,14.8,Sandy,Medium,173.1,High
CASE_100172,4.98,12.7,72.2,135.9,Loamy,High,49.85,Low
CASE_100173,5.76,28.9,79.3,127.5,Sandy,Medium,17.74,Low
CASE_100174,6.96,18.2,21.8,348,Loamy,Low,177.77,High
CASE_100175,6.62,42.9,79.9,399.2,Clay,Medium,175.57,High
CASE_100176,6.11,26.8,67.1,349.5,Clay,Low,154.6,High
CASE_100177,6.17,24.7,75.3,95.5,Silty,Low,154.81,High
CASE_100178,5.65,20.4,37.5,16.8,Loamy,Low,74.15,Medium
CASE_100179,6.21,23.5,71,87.3,Clay,High,197.61,High
CASE_100180,4.86,24.6,85.9,377.9,Silty,Medium,158.34,High
CASE_100181,5.17,44.7,37.4,377.1,Sandy,High,124.62,High
CASE_100182,6.55,18.1,33.2,88.2,Silty,Low,123.51,High
CASE_100183,5.9,12,92.7,353.5,Loamy,Low,157.02,High
CASE_100184,5.2,23.9,76.9,278.4,Silty,Low,199.01,High
CASE_100185,5.4,17.8,60.3,237.2,Sandy,Low,164.09,High
CASE_100186,8.01,19.3,29.7,355.5,Loamy,High,22.84,Low
CASE_100187,7.74,32.9,61.3,34.8,Loamy,High,173.11,High
CASE_100188,5.54,35.3,57.2,32.4,Sandy,Low,77.67,Medium
CASE_100189,4.8,39.8,57.1,192.2,Clay,Medium,138.24,High
CASE_100190,5.89,33.7,62.4,106.8,Sandy,Low,165.81,High
CASE_100191,7.13,39.8,85,283.3,Sandy,Medium,160.5,High
CASE_100192,7.22,31.7,76.5,63.4,Loamy,Medium,141.01,High
CASE_100193,4.62,38.9,29.7,134,Loamy,High,175.01,High
CASE_100194,7.77,39.1,58.1,2.6,Loamy,High,36.35,Low
CASE_100195,8.42,32.1,39.5,253.6,Clay,Medium,125.3,High
CASE_100196,4.93,36.6,60.6,385.2,Clay,Medium,157.07,High
CASE_100197,8.23,13.6,90.3,275.2,Loamy,High,128.36,High
CASE_100198,7.33,12.4,63.7,138.4,Silty,Low,63.69,Medium
CASE_100199,7.99,44.1,92.7,299.9,Sandy,Low,13.92,Low
CASE_100200,4.6,10.8,44.3,195.5,Silty,Low,152.86,High
CASE_100201,6.28,19.6,94.8,170.5,Clay,Low,138.24,High
CASE_100202,7.68,34.3,36.6,33,Clay,Low,36.91,Low
CASE_100203,5.59,43.3,31.3,172.9,Loamy,Medium,132.63,High
CASE_100204,7.05,23.9,40.6,393.6,Sandy,Medium,86.85,Medium
CASE_100205,5.42,17.5,22.3,260.7,Sandy,Low,179.35,High
CASE_100206,6.39,43.9,33.9,347.4,Loamy,Low,173.55,High
CASE_100207,7.88,36.6,67,52.5,Silty,Medium,155.33,High
CASE_100208,6.97,37.9,56.1,46.9,Clay,High,184.57,High
CASE_100209,6.22,17,56.9,25.7,Sandy,Medium,138.69,High
CASE_100210,7.69,20.9,54.1,4.6,Loamy,High,57.45,Medium
CASE_100211,6.42,31,41.9,278,Silty,Medium,81.54,Medium
CASE_100212,4.66,26.8,27.9,96.8,Clay,High,157.07,High
CASE_100213,6.5,31.6,72.7,223.9,Sandy,Low,32.79,Low
CASE_100214,6.57,13.1,46.3,13.3,Sandy,Low,68.66,Medium
CASE_100215,5.03,29.9,71.7,320.2,Clay,High,82.4,Medium
CASE_100216,4.92,32.3,73,12.6,Loamy,Medium,37.66,Low
CASE_100217,6.67,34.8,85.3,285.6,Clay,Medium,15.13,Low
CASE_100218,7.76,12.8,87.1,219,Silty,High,71.19,Medium
CASE_100219,7.07,28.4,74.9,32.7,Sandy,Medium,93.2,Medium
CASE_100220,5.14,40.5,36.4,390.3,Silty,Medium,53.19,Medium
CASE_100221,7.66,33.1,57.4,222.1,Sandy,High,40.51,Low
CASE_100222,8.49,44.1,68.8,79.8,Silty,Low,49.55,Low
CASE_100223,4.62,19,54.7,347.3,Loamy,High,19.08,Low
CASE_100224,6.2,22.1,47.8,395.1,Clay,High,149.83,High
CASE_100225,6.81,25.4,74.4,194.7,Sandy,High,174.07,High
CASE_100226,6.19,19.7,64.4,364.9,Loamy,Medium,180.64,High
CASE_100227,7.03,35.7,29.9,286.3,Loamy,Low,126.48,High
CASE_100228,5.45,44,33.6,341.8,Clay,High,40.04,Low
CASE_100229,7.98,25.6,58.6,143.7,Silty,Low,53.21,Medium
CASE_100230,6.06,43.9,39.4,262.7,Loamy,High,36.89,Low
CASE_100231,5.02,43.9,54,94.4,Loamy,Low,155.83,High
CASE_100232,6.58,21.8,82.2,172.4,Sandy,Low,38.1,Low
CASE_100233,7.33,15.8,32.6,14.7,Clay,High,125.34,High
CASE_100234,6.4,39.5,80.4,234.1,Clay,High,134.44,High
CASE_100235,4.95,19.4,24.3,212.5,Clay,Low,45.14,Low
CASE_100236,4.99,25.8,90,126.5,Sandy,Low,12.67,Low
CASE_100237,5.09,44.5,92.4,2,Sandy,High,13.11,Low
CASE_100238,7.97,25.9,58.7,195.5,Silty,Medium,129.63,High
CASE_100239,4.62,20.8,72.9,80.7,Loamy,Medium,32.23,Low
CASE_100240,4.88,33.5,53.3,347.3,Loamy,Low,194.13,High
CASE_100241,7.85,43.1,71.2,198.9,Clay,Low,140.06,High
CASE_100242,6.78,11.1,89.8,275.8,Clay,Medium,174.44,High
CASE_100243,7.14,23.8,68.8,42.6,Sandy,Low,47.06,Low
CASE_100244,4.69,44.2,50.5,348.3,Loamy,Low,199.89,High
CASE_100245,7.45,40.7,50.3,130.8,Loamy,High,115.57,High
CASE_100246,7.55,37.9,52.7,327.1,Loamy,High,162.53,High
CASE_100247,4.52,21.4,47.5,158.5,Loamy,High,111.18,High
CASE_100248,6.29,18.3,48,90.9,Loamy,Low,80.77,Medium
CASE_100249,7.17,31.7,54.8,151.9,Loamy,Medium,122.67,High
CASE_100250,6.42,10.9,45.6,152.1,Clay,Low,106.22,High
CASE_100251,6.63,31.3,77.4,325.2,Sandy,Low,118.13,High
CASE_100252,4.57,16.9,20.6,259,Loamy,Medium,191.33,High
CASE_100253,8.21,12.1,90.1,140.6,Loamy,Medium,52.48,Medium
CASE_100254,5.53,20,43,321.2,Clay,Low,99.74,Medium
CASE_100255,6.94,35.1,40.4,165.4,Loamy,Medium,65.71,Medium
CASE_100256,7.22,16.4,59.4,283.6,Clay,High,40.32,Low
CASE_100257,5.53,43.7,56.3,322.4,Loamy,Medium,115.63,High
CASE_100258,7.03,43.3,65.1,327.7,Silty,Low,13.47,Low
CASE_100259,5.35,31.4,50.8,335.9,Loamy,High,49.48,Low
CASE_100260,5.45,37.3,40.6,329,Silty,High,73.92,Medium
CASE_100261,4.88,31.8,53.9,234.6,Loamy,Low,135.17,High
CASE_100262,7.95,17.6,27.2,9.5,Clay,High,148.69,High
CASE_100263,6.69,18.1,49.3,237.8,Sandy,High,123.38,High
CASE_100264,5.05,34.3,50.3,171.3,Clay,Medium,197.62,High
CASE_100265,8.47,14.5,27.8,289.7,Loamy,High,140.03,High
CASE_100266,4.82,13,87.1,76.7,Silty,High,58.46,Medium
CASE_100267,5.92,12.4,58.9,27,Silty,Low,49.2,Low
CASE_100268,6.66,40.8,68.8,213.2,Sandy,Medium,50.57,Medium
CASE_100269,7.18,44.8,69.6,223.1,Loamy,Medium,69.94,Medium
CASE_100270,4.74,29.7,91.8,70.1,Silty,Low,95.72,Medium
CASE_100271,6.64,13.4,53.8,302.5,Loamy,Medium,44.18,Low
CASE_100272,7.68,42.5,37.6,159.7,Sandy,Low,134.66,High
CASE_100273,8.21,28.9,83.2,208.4,Loamy,Low,198.53,High
CASE_100274,7.52,14.5,82,312.8,Silty,Medium,22.38,Low
CASE_100275,5.71,19.2,47,35.1,Clay,Medium,12.05,Low
CASE_100276,5.72,23.9,53.5,240.2,Sandy,High,112.99,High
CASE_100277,6.49,44.7,83.9,83.4,Silty,High,184.28,High
CASE_100278,7.77,23.3,85.8,347.2,Sandy,Medium,27.69,Low
CASE_100279,5.72,12.8,50.2,69.4,Clay,Low,159.06,High
CASE_100280,8.4,32.4,81.7,53,Clay,Medium,72.49,Medium
CASE_100281,6.45,31.2,77.4,69.9,Sandy,Medium,184.94,High
CASE_100282,5.09,22.9,25.1,10.3,Silty,Medium,82.74,Medium
CASE_100283,6.7,43.8,52.4,124.7,Sandy,Medium,192.81,High
CASE_100284,4.92,32.4,36.2,247.8,Sandy,Medium,90.7,Medium
CASE_100285,4.75,37.3,54.5,23.3,Silty,Medium,34.64,Low
CASE_100286,7.28,44.4,37.9,56.9,Sandy,High,16.27,Low
CASE_100287,4.9,34.2,24.7,203.8,Silty,Medium,64.14,Medium
CASE_100288,6.96,20.7,66.8,210.8,Silty,High,163.72,High
CASE_100289,8.05,25.7,34.6,147.1,Sandy,High,30.49,Low
CASE_100290,7.43,36.9,20.8,166.5,Sandy,High,166.37,High
CASE_100291,5.54,36.6,30.3,214.1,Clay,Medium,8.74,Low
CASE_100292,5.46,44.2,80.1,383.8,Loamy,Low,7.36,Low
CASE_100293,6.69,25.9,83.3,39.2,Loamy,Low,26.4,Low
CASE_100294,5.8,35.8,55.7,150.4,Clay,High,34.26,Low
CASE_100295,7.64,41.2,91.7,314.8,Sandy,High,94.59,Medium
CASE_100296,6.25,18.9,83.1,15.4,Silty,Low,139.19,High
CASE_100297,7.05,33.1,87.1,254.7,Clay,Medium,94.99,Medium
CASE_100298,6.57,15.3,75.3,204.9,Clay,High,18,Low
CASE_100299,4.84,35.1,25.4,28.5,Clay,High,13.13,Low
CASE_100300,7.45,22.4,42.2,139.9,Sandy,Medium,191.52,High
CASE_100301,5.24,16.1,27.4,264.1,Silty,Low,133.97,High
CASE_100302,4.58,12.9,92.6,118.2,Sandy,Low,56.68,Medium
CASE_100303,6.03,17.2,29.1,246,Loamy,High,126.81,High
CASE_100304,6.62,11.5,92.6,319.5,Clay,High,130.56,High
CASE_100305,6.91,30.4,76.1,324.7,Clay,Medium,196.09,High
CASE_100306,5.85,42.5,36.8,148.9,Silty,Medium,29.98,Low
CASE_100307,6.95,43,38.1,48.6,Loamy,Low,90.68,Medium
CASE_100308,7.08,20,81.2,344.5,Loamy,High,177.95,High
CASE_100309,5.51,36.4,54.5,336.8,Sandy,Medium,184.19,High
CASE_100310,7.12,16.2,60.9,393.9,Clay,High,156.41,High
CASE_100311,5.16,14.6,74.4,327.1,Loamy,Medium,13.42,Low
CASE_100312,7.86,35.6,60.7,236.1,Silty,Low,103.64,High
CASE_100313,6.76,34.1,85.5,254.5,Clay,Medium,63.02,Medium
CASE_100314,6.35,10.3,38.5,290.6,Loamy,High,36.21,Low
CASE_100315,6.11,38,35.3,222,Clay,High,24.34,Low
CASE_100316,5.25,22.4,78.8,221.7,Clay,High,125.12,High
CASE_100317,4.64,36.1,35.2,383.2,Silty,Medium,153.39,High
CASE_100318,5.1,20.7,85.7,398.5,Silty,High,68.75,Medium
CASE_100319,7.39,41,64.5,156.6,Sandy,High,92.48,Medium
CASE_100320,4.51,31.7,46.7,317.7,Loamy,Low,140.65,High
CASE_100321,6.42,32.5,24.9,232,Loamy,Medium,119.7,High
CASE_100322,6.91,33.7,80.4,107.9,Silty,Low,114.33,High
CASE_100323,4.81,12,45.1,314,Silty,Low,102.16,High
CASE_100324,6.57,25.4,31.1,131.3,Silty,Medium,158.78,High
CASE_100325,5.38,30.9,75.2,399.3,Loamy,Medium,22.28,Low
CASE_100326,6.18,32.3,78.9,47.3,Clay,Low,130.3,High
CASE_100327,6.04,30,64.1,73.8,Clay,Medium,168.76,High
CASE_100328,4.6,10.8,82.4,109.2,Clay,Medium,70.23,Medium
CASE_100329,8.26,19.1,52.2,349.1,Sandy,Low,63.25,Medium
CASE_100330,7.71,26,56.2,53.4,Clay,Medium,41.29,Low
CASE_100331,6.49,25.3,74.7,306.2,Sandy,High,146.95,High
CASE_100332,5.04,36.3,69.3,382.6,Sandy,High,123.99,High
CASE_100333,5.63,19.2,38.5,362.5,Clay,Medium,16.13,Low
CASE_100334,7.54,25.7,78.3,26.1,Sandy,Medium,58.03,Medium
CASE_100335,4.75,41.7,30.4,213,Sandy,Low,11.55,Low
CASE_100336,8.1,10.8,69.8,385.4,Clay,High,72.73,Medium
CASE_100337,4.71,24.7,39.5,292.3,Clay,Medium,187.68,High
CASE_100338,7.12,16.9,62.4,185.6,Clay,High,55.02,Medium
CASE_100339,5.9,14,31.3,90.1,Loamy,High,123.66,High
CASE_100340,6.74,28.3,28.6,344.1,Sandy,Low,170.87,High
CASE_100341,7.33,29,26.1,183.3,Loamy,Low,18.2,Low
CASE_100342,8.28,39.7,70.2,184.9,Sandy,High,37.33,Low
CASE_100343,6.68,12.2,58.4,322.6,Loamy,Medium,131.94,High
CASE_100344,7.65,17,39.4,65.9,Loamy,Low,15.13,Low
CASE_100345,6.58,17.2,85.8,351.8,Loamy,Low,152.57,High
CASE_100346,6.3,44.5,77.9,10.9,Sandy,Medium,51.57,Medium
CASE_100347,8.14,28.9,57.3,42.2,Clay,Medium,95.47,Medium
CASE_100348,6.02,37.1,92.3,81.5,Loamy,High,165.31,High
CASE_100349,7.67,30.2,67.6,319.2,Silty,Low,60.99,Medium
CASE_100350,6.63,15.5,72.2,317.3,Sandy,High,183.44,High
CASE_100351,8.12,19.7,93.8,56.3,Clay,Low,172.15,High
CASE_100352,8.08,32.9,31.4,176.1,Clay,Low,40.92,Low
CASE_100353,8.03,38.1,57.9,386.9,Silty,High,21.28,Low
CASE_100354,7.17,32.2,32.4,352.8,Sandy,Medium,196.9,High
CASE_100355,4.55,29.6,59.6,287.7,Clay,Low,36.64,Low
CASE_100356,7.43,16.6,84.4,327.6,Silty,High,20.48,Low
CASE_100357,5.76,26.5,81.6,183.7,Loamy,Low,143.5,High
CASE_100358,7.81,21.7,33,284.8,Sandy,Medium,101.37,High
CASE_100359,5.46,15,46.1,180.1,Clay,Medium,24.62,Low
CASE_100360,6.98,22.3,83.1,188.5,Sandy,High,131.97,High
CASE_100361,5.01,33.7,44.4,274.5,Silty,Low,128.66,High
CASE_100362,7.92,18,82.8,111.7,Sandy,High,39.1,Low
CASE_100363,6.55,20.7,35.9,13.3,Loamy,Low,140.36,High
CASE_100364,8.25,40.5,77.5,315.4,Silty,Medium,132.37,High
CASE_100365,8.13,33.5,62,44.4,Sandy,High,55.76,Medium
CASE_100366,7.96,29.1,48.5,390.7,Clay,Medium,94.77,Medium
CASE_100367,4.67,35.9,88.9,112,Loamy,High,87.4,Medium
CASE_100368,8.14,36.4,80.4,7.2,Silty,Low,61.98,Medium
CASE_100369,5.72,39,41.1,349.1,Loamy,Medium,146.7,High
CASE_100370,6.66,13.4,38.1,5,Silty,Medium,142.22,High
CASE_100371,6.89,20.4,42.5,297.3,Loamy,High,63.75,Medium
CASE_100372,7.91,33.4,64.5,356.9,Silty,Low,181.06,High
CASE_100373,5.46,37.8,22.6,233.1,Silty,High,20.4,Low
CASE_100374,6.59,12.2,82.4,239.6,Silty,Medium,171.86,High
CASE_100375,8.14,33.4,82.2,351.6,Clay,Medium,23.3,Low
CASE_100376,6.22,21.1,52.6,309.6,Sandy,Low,105.9,High
